ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): Maine

School Name,State Name [Public School] Latest available year,Lowest Grade Offered [Public School] 2008-09,Highest Grade Offered [Public School] 2008-09,Total Students [Public School] 2008-09,Total Free and Reduced Lunch Students [Public School] 2008-09,Female Students [Public School] 2008-09,Male Students [Public School] 2008-09,State Name [Public School] 2008-09,Pupil/Teacher Ratio [Public School] 2008-09
GUILFORD PRIMARY SCHOOL,Maine,Kindergarten,4th Grade,88,49,43,45,MAINE,11.90
GUY E ROWE SCHOOL,Maine,Kindergarten,6th Grade,410,247,181,229,MAINE,11.00
H B EMERY JR MEMORIAL SCHOOL,Maine,Kindergarten,5th Grade,194,100,89,105,MAINE,13.20
HALL-DALE ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,366,134,171,195,MAINE,13.10
HALL-DALE HIGH SCHOOL,Maine,9th Grade,12th Grade,375,119,187,188,MAINE,12.40
HALL-DALE MIDDLE SCHOOL,Maine,6th Grade,8th Grade,208,78,101,107,MAINE,10.20
HAMPDEN ACADEMY,Maine,9th Grade,12th Grade,746,145,345,401,MAINE,12.60
HANCOCK COUNTY TECHNICAL CENTER,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
HANCOCK GRAMMAR SCHOOL,Maine,Kindergarten,8th Grade,231,109,129,102,MAINE,9.80
HARMONY ELEMENTARY,Maine,Kindergarten,8th Grade,99,53,47,52,MAINE,13.40
HARPSWELL ISLANDS SCHOOL,Maine,Kindergarten,6th Grade,111,29,50,61,MAINE,10.10
HARRINGTON ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,134,90,66,68,MAINE,11.10
HARRISON ELEMENTARY,Maine,Kindergarten,6th Grade,192,121,87,105,MAINE,10.40
HARRISON LYSETH ELEM SCHOOL,Maine,Kindergarten,5th Grade,529,109,255,274,MAINE,14.30
HARTFORD-SUMNER ELEMENTARY SCHOOL,Maine,Prekindergarten,6th Grade,329,169,167,162,MAINE,10.80
HARTLAND CONSOLIDATED SCHOOL,Maine,Prekindergarten,6th Grade,145,102,73,72,MAINE,13.30
HAWTHORNE SCHOOL,Maine,1st Grade,5th Grade,83,45,38,45,MAINE,8.30
HEBRON STATION SCHOOL,Maine,Kindergarten,6th Grade,112,47,54,58,MAINE,12.00
HELEN S DUNN ELEMENTARY SCHOOL,Maine,Prekindergarten,8th Grade,150,78,73,77,MAINE,9.90
HELEN THOMPSON SCHOOL,Maine,Prekindergarten,5th Grade,263,79,122,141,MAINE,15.00
HENRY L COTTRELL SCHOOL,Maine,Prekindergarten,4th Grade,215,88,111,104,MAINE,12.70
HERMON ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,356,91,172,184,MAINE,13.00
HERMON HIGH SCHOOL,Maine,9th Grade,12th Grade,549,106,242,307,MAINE,13.60
HERMON MIDDLE SCHOOL,Maine,5th Grade,8th Grade,278,52,129,149,MAINE,14.40
HICHBORN MIDDLE SCHOOL,Maine,6th Grade,8th Grade,120,67,64,56,MAINE,9.00
HILLTOP ELEMENTARY SCHOOL,Maine,Kindergarten,2nd Grade,257,112,106,151,MAINE,11.40
HOLBROOK SCHOOL,Maine,5th Grade,8th Grade,281,67,139,142,MAINE,11.20
HOLDEN SCHOOL,Maine,Kindergarten,4th Grade,169,37,79,90,MAINE,12.50
HOLLIS SCHOOL,Maine,Kindergarten,5th Grade,337,116,167,170,MAINE,13.20
HOPE ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,142,40,67,75,MAINE,9.70
HORACE MITCHELL PRIMARY SCHOOL,Maine,Kindergarten,2nd Grade,247,73,126,121,MAINE,9.90
HOULTON ELEMENTARY SCHOOL,Maine,Prekindergarten,3rd Grade,376,220,174,202,MAINE,12.60
HOULTON HIGH SCHOOL,Maine,9th Grade,12th Grade,385,160,190,195,MAINE,12.20
HOULTON JUNIOR HIGH SCHOOL,Maine,7th Grade,8th Grade,204,103,115,89,MAINE,14.30
HOULTON SOUTHSIDE SCHOOL,Maine,4th Grade,6th Grade,267,145,128,139,MAINE,11.30
HOWARD C REICHE COMMUNITY SCH,Maine,Kindergarten,5th Grade,293,231,145,148,MAINE,9.80
HUDSON ELEMENTARY SCHOOL,Maine,3rd Grade,4th Grade,48,25,22,26,MAINE,13.70
INDIAN ISLAND SCHOOL,Maine,Prekindergarten,8th Grade,131,97,64,67,MAINE,7.80
INDIAN TOWNSHIP SCHOOL,Maine,Prekindergarten,8th Grade,114,95,56,58,MAINE,6.70
ISLE AU HAUT RURAL SCHOOL,Maine,Kindergarten,8th Grade,8,="0",2,6,MAINE,5.70
ISLESBORO CENTRAL SCHOOL,Maine,Kindergarten,12th Grade,86,10,46,40,MAINE,6.80
ISLESFORD ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,11,="0",6,5,MAINE,4.20
JACK MEMORIAL SCHOOL,Maine,Kindergarten,2nd Grade,186,76,77,109,MAINE,12.60
JAMES F. DOUGHTY SCHOOL,Maine,6th Grade,8th Grade,426,238,211,215,MAINE,12.90
JAMES H BEAN SCHOOL,Maine,Prekindergarten,6th Grade,362,106,179,183,MAINE,16.40
JAMES OTIS KALER ELEMENTARY SCHOOL,Maine,Kindergarten,5th Grade,225,110,100,125,MAINE,12.50
JAMESON ELEMENTARY SCHOOL,Maine,Prekindergarten,3rd Grade,249,112,113,136,MAINE,10.80
JAY ELEMENTARY SCHOOL,Maine,Prekindergarten,4th Grade,311,153,147,164,MAINE,11.10
JAY HIGH SCHOOL,Maine,9th Grade,12th Grade,252,78,130,122,MAINE,10.50
JAY MIDDLE SCHOOL,Maine,5th Grade,8th Grade,217,113,114,103,MAINE,9.00
JEFFERSON VILLAGE SCHOOL,Maine,Kindergarten,8th Grade,198,85,94,104,MAINE,9.60
JOHN F KENNEDY MEMORIAL SCHOOL,Maine,Prekindergarten,Kindergarten,184,77,78,106,MAINE,15.60
JONESBORO ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,51,26,17,34,MAINE,7.60
JONESPORT ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,112,71,51,61,MAINE,10.60
JONESPORT-BEALS HIGH SCHOOL,Maine,9th Grade,12th Grade,87,45,44,43,MAINE,9.90
JORDAN ACRES SCHOOL,Maine,Kindergarten,5th Grade,457,128,219,238,MAINE,14.90
JORDAN-SMALL MIDDLE SCHOOL,Maine,5th Grade,8th Grade,234,43,121,113,MAINE,11.60
KATAHDIN ELEMENTARY SCHOOL,Maine,Prekindergarten,6th Grade,237,160,109,128,MAINE,11.00
KATAHDIN MIDDLE/HIGH SCHOOL,Maine,7th Grade,12th Grade,211,125,100,111,MAINE,10.20
KENDUSKEAG ELEMENTARY SCHOOL,Maine,Kindergarten,2nd Grade,146,74,68,78,MAINE,12.70
KENNEBUNK ELEMENTARY SCHOOL,Maine,Prekindergarten,3rd Grade,475,41,223,252,MAINE,14.40
KENNEBUNK HIGH SCHOOL,Maine,9th Grade,12th Grade,822,84,410,412,MAINE,12.60
KENNEBUNKPORT CONSOLIDATED SCH,Maine,Kindergarten,6th Grade,210,16,103,107,MAINE,12.30
KERMIT S NICKERSON SCHOOL,Maine,Prekindergarten,5th Grade,92,63,50,42,MAINE,12.30
KING MIDDLE SCHOOL,Maine,6th Grade,8th Grade,493,263,251,242,MAINE,8.80
KINGFIELD ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,151,74,74,77,MAINE,12.50
KINGMAN ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,21,18,10,11,MAINE,10.50
LAFAYETTE SCHOOL,Maine,1st Grade,3rd Grade,105,78,53,52,MAINE,10.60
LAKE REGION HIGH SCHOOL,Maine,9th Grade,12th Grade,616,263,291,325,MAINE,11.30
LAKE REGION MIDDLE SCHOOL,Maine,5th Grade,8th Grade,457,204,210,247,MAINE,11.00
LAKE REGION VOCATIONAL CENTER,Maine,8th Grade,12th Grade,="0",†,="0",="0",MAINE,†
LAMOINE CONSOLIDATED SCHOOL,Maine,Kindergarten,8th Grade,115,37,58,57,MAINE,10.40
LAURA E RICHARDS SCHOOL,Maine,Prekindergarten,5th Grade,262,126,113,149,MAINE,13.60
LAWRENCE HIGH SCHOOL,Maine,9th Grade,12th Grade,808,322,394,414,MAINE,12.70
LAWRENCE JR HIGH SCHOOL,Maine,7th Grade,8th Grade,369,161,189,180,MAINE,11.90
LEAVITT AREA HIGH SCHOOL,Maine,9th Grade,12th Grade,699,696,337,362,MAINE,12.70
LEBANON SCHOOL,Maine,Kindergarten,6th Grade,476,225,218,258,MAINE,13.40
LEE/WINN SCHOOL,Maine,Prekindergarten,5th Grade,101,66,56,45,MAINE,11.20
LEEDS CENTRAL SCHOOL,Maine,Kindergarten,6th Grade,162,58,67,95,MAINE,10.10
LEGION MEMORIAL SCHOOL,Maine,Kindergarten,1st Grade,27,16,11,16,MAINE,9.60
LEONARD MIDDLE SCHOOL,Maine,6th Grade,8th Grade,317,124,164,153,MAINE,10.40
LEROY H SMITH SCHOOL,Maine,Prekindergarten,5th Grade,275,124,142,133,MAINE,12.20
LEWISTON HIGH SCHOOL,Maine,9th Grade,12th Grade,1394,596,640,754,MAINE,13.20
LEWISTON MIDDLE SCHOOL,Maine,7th Grade,8th Grade,695,393,338,357,MAINE,11.30
LEWISTON REGIONAL TECHNOLOGY CTR,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
LIBBY-TOZIER SCHOOL,Maine,Kindergarten,3rd Grade,142,65,72,70,MAINE,9.30
LILLIAN PARKS HUSSEY SCHOOL,Maine,Prekindergarten,6th Grade,203,85,102,101,MAINE,14.90
LIMESTONE COMMUNITY SCHOOL,Maine,Prekindergarten,12th Grade,306,192,161,145,MAINE,12.20
LINCOLN MIDDLE SCHOOL,Maine,6th Grade,8th Grade,478,203,230,248,MAINE,10.30
LINCOLN SCHOOL,Maine,Prekindergarten,6th Grade,292,179,143,149,MAINE,14.20
LINCOLNVILLE CENTRAL SCHOOL,Maine,Kindergarten,8th Grade,202,62,95,107,MAINE,10.30
LINE ELEMENTARY,Maine,Kindergarten,6th Grade,380,162,179,201,MAINE,14.30
LISBON COMMUNITY SCHOOL,Maine,Kindergarten,6th Grade,585,255,279,306,MAINE,11.90
LISBON HIGH SCHOOL,Maine,9th Grade,12th Grade,455,144,209,246,MAINE,13.00
LIVERMORE ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,434,267,208,226,MAINE,15.60
LIVERMORE FALLS HIGH SCHOOL,Maine,9th Grade,12th Grade,361,197,154,207,MAINE,13.90
LIVERMORE FALLS MIDDLE SCHOOL,Maine,6th Grade,8th Grade,227,133,101,126,MAINE,11.90
LONG ISLAND ELEMENTARY SCHOOL,Maine,Kindergarten,5th Grade,13,1,6,7,MAINE,6.50
LONGFELLOW SCHOOL-BRUNSWICK,Maine,Kindergarten,5th Grade,323,84,160,163,MAINE,15.60
LONGFELLOW SCHOOL-PORTLAND,Maine,Kindergarten,5th Grade,373,80,196,177,MAINE,14.30
LORANGER MIDDLE SCHOOL,Maine,4th Grade,8th Grade,338,158,158,180,MAINE,10.40
LUBEC CONSOLIDATED SCHOOL,Maine,Prekindergarten,12th Grade,161,123,77,84,MAINE,8.50
LURA LIBBY SCHOOL,Maine,Kindergarten,4th Grade,148,81,77,71,MAINE,9.00
LYMAN ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,327,93,156,171,MAINE,13.80
LYMAN MOORE MIDDLE SCHOOL,Maine,6th Grade,8th Grade,546,242,254,292,MAINE,11.40
MABEL I WILSON SCHOOL,Maine,Prekindergarten,3rd Grade,491,29,228,263,MAINE,13.90
MACDOUGAL SCHOOL,Maine,Kindergarten,2nd Grade,124,81,63,61,MAINE,10.20
MACHIAS MEMORIAL HIGH SCHOOL,Maine,9th Grade,12th Grade,126,73,59,67,MAINE,9.40
MADAWASKA ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,283,115,143,140,MAINE,12.90
MADAWASKA MIDDLE/HIGH SCHOOL,Maine,6th Grade,12th Grade,373,136,175,198,MAINE,13.40
MADISON AREA MEMORIAL H S,Maine,9th Grade,12th Grade,267,152,140,127,MAINE,11.70
MADISON ELEMENTARY SCHOOL,Maine,Prekindergarten,4th Grade,304,182,138,166,MAINE,13.80
MADISON JUNIOR HIGH SCHOOL,Maine,5th Grade,8th Grade,265,143,116,149,MAINE,12.40
MAINE REGION TEN TECHNICAL HIGH SCH,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
MANCHESTER ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,177,32,83,94,MAINE,11.20
MANCHESTER SCHOOL,Maine,4th Grade,5th Grade,411,107,208,203,MAINE,14.50
MANSON PARK SCHOOL,Maine,Prekindergarten,1st Grade,108,50,52,56,MAINE,16.10
MAPLETON ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,218,88,117,101,MAINE,13.90
MARANACOOK COMMUNITY HIGH SCH,Maine,7th Grade,12th Grade,473,109,230,243,MAINE,10.70
MARANACOOK COMMUNITY MIDDLE SCH,Maine,6th Grade,8th Grade,290,85,142,148,MAINE,10.20
MARCIA BUKER SCHOOL,Maine,Prekindergarten,5th Grade,294,95,157,137,MAINE,12.90
MARGARET CHASE SMITH SCH.-SANFORD,Maine,Kindergarten,3rd Grade,350,165,157,193,MAINE,12.40
MARGARET CHASE SMITH SCH.-SKOWHEGAN,Maine,4th Grade,6th Grade,241,121,117,124,MAINE,12.80
MARION C COOK SCHOOL,Maine,Kindergarten,5th Grade,48,32,28,20,MAINE,10.40
MARSHWOOD GREAT WORKS SCHOOL,Maine,4th Grade,5th Grade,371,58,190,181,MAINE,14.50
MARSHWOOD HIGH SCHOOL,Maine,9th Grade,12th Grade,791,10,390,401,MAINE,14.70
MARSHWOOD MIDDLE SCHOOL,Maine,6th Grade,8th Grade,569,74,287,282,MAINE,12.70
MARTEL SCHOOL,Maine,Kindergarten,6th Grade,315,195,153,162,MAINE,16.50
MARY SNOW SCHOOL,Maine,4th Grade,5th Grade,248,86,110,138,MAINE,12.90
MASSABESIC HIGH SCHOOL,Maine,9th Grade,12th Grade,1194,335,554,640,MAINE,15.10
MASSABESIC MIDDLE SCHOOL,Maine,5th Grade,8th Grade,545,178,265,280,MAINE,13.10
MAST LANDING SCHOOL,Maine,3rd Grade,5th Grade,251,45,119,132,MAINE,12.90
MATINICUS ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,6,3,4,2,MAINE,6.00
MATTANAWCOOK ACADEMY,Maine,9th Grade,12th Grade,435,201,212,223,MAINE,14.50
MATTANAWCOOK JR HIGH SCHOOL,Maine,5th Grade,8th Grade,361,191,174,187,MAINE,12.30
ME SCH OF SCIENCE & MATHEMATICS,Maine,10th Grade,12th Grade,118,4,49,69,MAINE,17.60
MEDOMAK MIDDLE SCHOOL,Maine,7th Grade,8th Grade,296,148,139,157,MAINE,10.90
MEDOMAK VALLEY HIGH SCHOOL,Maine,9th Grade,12th Grade,621,258,291,330,MAINE,12.90
MEDWAY MIDDLE SCHOOL,Maine,5th Grade,8th Grade,161,98,75,86,MAINE,10.50
MEMORIAL MIDDLE SCHOOL,Maine,6th Grade,8th Grade,364,120,167,197,MAINE,11.40
MEMORIAL SCHOOL,Maine,Prekindergarten,5th Grade,229,56,113,116,MAINE,13.60
MEROBY ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,343,224,151,192,MAINE,11.50
MESSALONSKEE HIGH SCHOOL,Maine,9th Grade,12th Grade,851,183,425,426,MAINE,14.50
MESSALONSKEE MIDDLE SCHOOL,Maine,6th Grade,8th Grade,565,171,275,290,MAINE,13.80
MID-COAST SCH OF TECH-REGION 8,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
MID-MAINE TECHNICAL CENTER,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
MIDDLE SCHOOL OF THE KENNEBUNKS,Maine,6th Grade,8th Grade,540,76,284,256,MAINE,12.70
MILBRIDGE ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,108,73,57,51,MAINE,10.70
MILDRED L DAY SCHOOL,Maine,Kindergarten,8th Grade,263,36,133,130,MAINE,13.40
MILES LANE SCHOOL,Maine,Prekindergarten,4th Grade,254,129,121,133,MAINE,11.30
MILL POND SCHOOL,Maine,Prekindergarten,8th Grade,354,199,156,198,MAINE,12.40
MILL STREAM ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,372,196,194,178,MAINE,11.80
MILLER SCHOOL,Maine,Kindergarten,6th Grade,347,217,172,175,MAINE,11.80
MILLINOCKET MIDDLE SCHOOL,Maine,6th Grade,8th Grade,142,78,62,80,MAINE,14.50
MILO ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,236,170,120,116,MAINE,11.90
MINOT CONSOLIDATED SCHOOL,Maine,Kindergarten,8th Grade,263,72,127,136,MAINE,12.10
MOLLY OCKETT MIDDLE SCHOOL,Maine,6th Grade,8th Grade,305,120,145,160,MAINE,10.50
MONHEGAN ISLAND SCHOOL,Maine,Kindergarten,8th Grade,5,="0",="0",5,MAINE,6.30
MONMOUTH ACADEMY,Maine,9th Grade,12th Grade,265,77,121,144,MAINE,12.70
MONMOUTH MIDDLE SCHOOL,Maine,4th Grade,8th Grade,294,118,151,143,MAINE,12.20
MONROE ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,64,40,30,34,MAINE,8.20
MONSON ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,35,20,16,19,MAINE,15.20
MONTELLO SCHOOL,Maine,Kindergarten,6th Grade,850,661,413,437,MAINE,15.20
MORISON MEMORIAL SCHOOL,Maine,3rd Grade,5th Grade,223,111,107,116,MAINE,16.00
MORSE HIGH SCHOOL,Maine,7th Grade,12th Grade,745,167,392,353,MAINE,14.00
MORSE MEMORIAL SCHOOL,Maine,Prekindergarten,6th Grade,135,90,53,82,MAINE,10.30
MORSE STREET SCHOOL,Maine,Prekindergarten,2nd Grade,245,43,121,124,MAINE,13.80
MOSCOW ELEMENTARY,Maine,Prekindergarten,4th Grade,100,57,51,49,MAINE,13.50
MOUNTAIN VALLEY HIGH SCHOOL,Maine,9th Grade,12th Grade,537,228,235,302,MAINE,12.20
MOUNTAIN VALLEY MIDDLE SCHOOL,Maine,6th Grade,8th Grade,276,146,129,147,MAINE,8.70
MOUNTAIN VIEW SCHOOL,Maine,Prekindergarten,8th Grade,265,151,126,139,MAINE,11.90
MOUNTAIN VIEW YOUTH DEV CTR,Maine,5th Grade,12th Grade,45,="0",="0",45,MAINE,2.60
MT ABRAM REGIONAL HIGH SCHOOL,Maine,9th Grade,12th Grade,312,156,159,153,MAINE,12.90
MT ARARAT HIGH SCHOOL,Maine,9th Grade,12th Grade,940,223,457,483,MAINE,11.60
MT ARARAT MIDDLE SCHOOL,Maine,6th Grade,8th Grade,665,166,309,356,MAINE,10.30
MT BLUE HIGH SCHOOL,Maine,9th Grade,12th Grade,817,391,389,428,MAINE,14.50
MT BLUE MIDDLE SCHOOL,Maine,7th Grade,8th Grade,359,165,177,182,MAINE,12.30
MT DESERT ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,162,24,87,75,MAINE,8.50
MT DESERT ISLAND HIGH SCHOOL,Maine,9th Grade,12th Grade,564,129,279,285,MAINE,10.30
MT JEFFERSON JR HIGH SCHOOL,Maine,5th Grade,8th Grade,105,61,48,57,MAINE,9.70
MT VERNON ELEMENTARY SCHOOL,Maine,Prekindergarten,6th Grade,122,57,67,55,MAINE,13.60
MT VIEW ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,213,152,102,111,MAINE,12.20
MT VIEW HIGH SCHOOL,Maine,9th Grade,12th Grade,495,298,224,271,MAINE,13.00
MT VIEW MIDDLE SCHOOL,Maine,4th Grade,8th Grade,209,127,90,119,MAINE,10.80
NARRAGANSETT ELEMENTARY SCHOOL,Maine,Kindergarten,3rd Grade,438,67,229,209,MAINE,15.50
NARRAGUAGUS HIGH SCHOOL,Maine,9th Grade,12th Grade,241,116,122,119,MAINE,12.60
NATHAN CLIFFORD SCHOOL,Maine,Prekindergarten,5th Grade,277,145,130,147,MAINE,12.50
NEW SUNCOOK SCHOOL,Maine,Kindergarten,5th Grade,186,83,90,96,MAINE,9.40
NEW SWEDEN CONSOLIDATED SCHOOL,Maine,Prekindergarten,8th Grade,85,51,35,50,MAINE,12.30
NEWBURGH ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,93,43,44,49,MAINE,11.60
NEWPORT ELEMENTARY SCHOOL,Maine,Prekindergarten,6th Grade,299,154,148,151,MAINE,13.40
NICKERSON ELEMENTARY SCHOOL,Maine,Kindergarten,5th Grade,94,59,42,52,MAINE,12.20
NO PENOBSCOT TECH-REGION 3,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
NOBLE HIGH SCHOOL,Maine,9th Grade,12th Grade,1042,219,527,515,MAINE,13.00
NOBLE MIDDLE SCHOOL,Maine,7th Grade,12th Grade,515,155,269,246,MAINE,11.30
NOBLEBORO CENTRAL SCHOOL,Maine,Kindergarten,8th Grade,122,50,57,65,MAINE,8.60
NOKOMIS REGIONAL HIGH SCHOOL,Maine,9th Grade,12th Grade,741,434,363,378,MAINE,13.30
NORTH BERWICK ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,296,74,140,156,MAINE,10.30
NORTH ELEMENTARY SCHOOL,Maine,Kindergarten,1st Grade,156,93,78,78,MAINE,10.30
NORTH HAVEN COMMUNITY SCHOOL,Maine,Prekindergarten,12th Grade,63,="0",34,29,MAINE,4.80
NORTH YARMOUTH MEMORIAL SCHOOL,Maine,3rd Grade,5th Grade,347,20,169,178,MAINE,14.20
OAK HILL HIGH SCHOOL,Maine,9th Grade,12th Grade,521,184,254,267,MAINE,12.40
OLD ORCHARD BEACH HIGH SCHOOL,Maine,9th Grade,12th Grade,294,110,140,154,MAINE,11.90
OLD TOWN ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,504,189,243,261,MAINE,11.50
OLD TOWN HIGH SCHOOL,Maine,9th Grade,12th Grade,564,195,272,292,MAINE,12.50
OPAL MYRICK ELEMENTARY SCHOOL,Maine,Kindergarten,4th Grade,173,114,81,92,MAINE,9.90
ORLAND CONSOLIDATED SCHOOL,Maine,Prekindergarten,8th Grade,169,54,82,87,MAINE,11.20
ORONO HIGH SCHOOL,Maine,9th Grade,12th Grade,364,84,175,189,MAINE,13.10
ORONO MIDDLE SCHOOL,Maine,6th Grade,8th Grade,144,32,66,78,MAINE,10.50
OTISFIELD COMMUNITY SCHOOL,Maine,Kindergarten,6th Grade,122,60,59,63,MAINE,13.10
OWLS HEAD CENTRAL SCHOOL,Maine,2nd Grade,5th Grade,91,21,46,45,MAINE,13.60
OXFORD ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,349,241,155,194,MAINE,11.30
OXFORD HILLS COMPREHENSIVE H S,Maine,9th Grade,12th Grade,1080,526,533,547,MAINE,13.60
OXFORD HILLS MIDDLE SCHOOL,Maine,7th Grade,8th Grade,541,289,259,282,MAINE,12.70
OXFORD HILLS TECH - REGION 11,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
OXFORD-CUMBERLAND CANAL SCHOOL,Maine,3rd Grade,5th Grade,214,133,109,105,MAINE,9.70
PALERMO CONSOLIDATED SCHOOL,Maine,Kindergarten,8th Grade,133,40,58,75,MAINE,9.90
PALMYRA CONSOLIDATED SCHOOL,Maine,Prekindergarten,6th Grade,104,64,52,52,MAINE,17.00
PARIS ELEMENTARY SCHOOL,Maine,Prekindergarten,6th Grade,386,238,182,204,MAINE,13.70
PARK AVENUE ELEMENTARY SCHOOL,Maine,Prekindergarten,6th Grade,365,208,163,202,MAINE,11.20
PATRICK THERRIAULT SCHOOL,Maine,Prekindergarten,6th Grade,15,12,7,8,MAINE,6.80
PEAKS ISLAND SCHOOL,Maine,Kindergarten,5th Grade,48,8,20,28,MAINE,7.40
PEMBROKE ELEMENTARY SCHOOL,Maine,Prekindergarten,8th Grade,105,68,52,53,MAINE,11.40
PEMETIC ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,164,50,86,78,MAINE,7.80
PENINSULA CSD SCHOOL,Maine,Kindergarten,8th Grade,170,103,78,92,MAINE,9.80
PENOBSCOT ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,68,19,27,41,MAINE,7.50
PENOBSCOT VALLEY HIGH SCHOOL,Maine,9th Grade,12th Grade,208,105,96,112,MAINE,10.30
PENQUIS VALLEY HIGH SCHOOL,Maine,7th Grade,12th Grade,360,158,173,187,MAINE,12.40
PERRY ELEMENTARY SCHOOL,Maine,Prekindergarten,8th Grade,113,67,59,54,MAINE,11.80
PETTINGILL ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,340,135,163,177,MAINE,17.60
PHILIP W SUGG MIDDLE SCHOOL,Maine,6th Grade,8th Grade,312,139,147,165,MAINE,13.60
PHILLIPS ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,153,99,84,69,MAINE,10.10
PHIPPSBURG ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,130,38,65,65,MAINE,10.90
PINE STREET ELEMENTARY SCHOOL,Maine,Kindergarten,5th Grade,361,207,185,176,MAINE,17.00
PISCATAQUIS COMMUNITY H S,Maine,9th Grade,12th Grade,261,155,114,147,MAINE,12.80
PISCATAQUIS COMMUNITY MIDDLE SCH,Maine,4th Grade,8th Grade,269,149,150,119,MAINE,14.70
PITTSTON CONSOLIDATED SCHOOL,Maine,Prekindergarten,5th Grade,161,71,83,78,MAINE,11.10
PLEASANT HILL SCHOOL,Maine,Kindergarten,2nd Grade,215,17,101,114,MAINE,12.90
PLUMMER-MOTZ SCHOOL,Maine,3rd Grade,5th Grade,311,11,144,167,MAINE,13.80
POLAND COMMUNITY SCHOOL,Maine,Kindergarten,6th Grade,435,147,229,206,MAINE,11.20
POLAND REGIONAL H S,Maine,9th Grade,12th Grade,550,136,261,289,MAINE,10.10
POND COVE ELEMENTARY,Maine,Kindergarten,4th Grade,609,28,281,328,MAINE,14.80
PORTLAND ARTS & TECHNOLOGY H S,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
PORTLAND HIGH SCHOOL,Maine,9th Grade,12th Grade,924,449,468,456,MAINE,12.60
POWNAL ELEMENTARY SCHOOL,Maine,Prekindergarten,8th Grade,139,16,69,70,MAINE,10.20
PRESCOTT MEMORIAL SCHOOL,Maine,Kindergarten,6th Grade,116,63,57,59,MAINE,9.70
PRESQUE ISLE HIGH SCHOOL,Maine,9th Grade,12th Grade,638,250,295,343,MAINE,14.90
PRESQUE ISLE MIDDLE SCHOOL,Maine,6th Grade,8th Grade,461,229,242,219,MAINE,13.30
PRESQUE ISLE REG CAREER & TECH CTR,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
PRESUMPSCOT SCHOOL,Maine,Prekindergarten,5th Grade,274,180,139,135,MAINE,14.70
PRIDES CORNER SCHOOL,Maine,Prekindergarten,2nd Grade,345,153,169,176,MAINE,13.60
PRINCETON ELEMENTARY SCHOOL,Maine,Prekindergarten,8th Grade,122,80,65,57,MAINE,10.20
QUIMBY MIDDLE SCHOOL,Maine,4th Grade,8th Grade,74,46,29,45,MAINE,11.20
RALPH M ATWOOD PRIMARY SCHOOL,Maine,Prekindergarten,3rd Grade,228,113,132,96,MAINE,14.50
RANGELEY LAKES REGIONAL SCHOOL,Maine,Kindergarten,12th Grade,229,116,115,114,MAINE,9.40
RAYMOND A. GEIGER ELEMENTARY SCHOOL,Maine,†,†,†,†,†,†,MAINE,†
