ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): Maine

School Name,State Name [Public School] Latest available year,Lowest Grade Offered [Public School] 2008-09,Highest Grade Offered [Public School] 2008-09,Total Students [Public School] 2008-09,Total Free and Reduced Lunch Students [Public School] 2008-09,Female Students [Public School] 2008-09,Male Students [Public School] 2008-09,State Name [Public School] 2008-09,Pupil/Teacher Ratio [Public School] 2008-09
BRUNSWICK HIGH SCHOOL,Maine,9th Grade,12th Grade,1128,172,552,576,MAINE,14.40
BRUNSWICK JR HIGH SCHOOL,Maine,6th Grade,8th Grade,715,197,354,361,MAINE,13.10
BUCKFIELD JR-SR HIGH SCHOOL,Maine,7th Grade,12th Grade,304,175,166,138,MAINE,12.40
BUCKSPORT HIGH SCHOOL,Maine,9th Grade,12th Grade,430,116,180,250,MAINE,13.00
BUCKSPORT MIDDLE SCHOOL,Maine,5th Grade,8th Grade,244,95,124,120,MAINE,9.10
BURCHARD A DUNN SCHOOL,Maine,Kindergarten,5th Grade,447,132,211,236,MAINE,15.90
BURNHAM VILLAGE SCHOOL,Maine,Kindergarten,3rd Grade,69,40,33,36,MAINE,15.00
C K BURNS SCHOOL,Maine,3rd Grade,5th Grade,603,187,281,322,MAINE,15.20
CALAIS ELEMENTARY SCHOOL,Maine,Prekindergarten,6th Grade,274,165,123,151,MAINE,11.90
CALAIS MIDDLE/HIGH SCHOOL,Maine,7th Grade,12th Grade,360,160,162,198,MAINE,13.20
CAMDEN HILLS REGIONAL H S,Maine,9th Grade,12th Grade,672,131,309,363,MAINE,11.10
CAMDEN-ROCKPORT ELEMENTARY SCHOOL,Maine,Kindergarten,4th Grade,373,70,174,199,MAINE,10.00
CAMDEN-ROCKPORT MIDDLE SCHOOL,Maine,5th Grade,8th Grade,399,60,193,206,MAINE,10.70
CANAAN ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,228,142,125,103,MAINE,12.10
CAPE COD HILL ELEM SCHOOL,Maine,Kindergarten,6th Grade,201,125,102,99,MAINE,12.70
CAPE ELIZABETH HIGH SCHOOL,Maine,9th Grade,12th Grade,558,15,266,292,MAINE,11.70
CAPE ELIZABETH MIDDLE SCHOOL,Maine,5th Grade,8th Grade,572,35,280,292,MAINE,12.30
CAPITAL AREA TECHNICAL CENTER,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
CAPRI STREET SCHOOL,Maine,Prekindergarten,Kindergarten,130,63,59,71,MAINE,15.10
CAPTAIN ALBERT W. STEVENS SCHOOL,Maine,Prekindergarten,5th Grade,303,151,150,153,MAINE,10.60
CARAVEL MIDDLE SCHOOL,Maine,6th Grade,8th Grade,198,93,98,100,MAINE,11.30
CARIBOU HIGH SCHOOL,Maine,9th Grade,12th Grade,580,227,285,295,MAINE,14.40
CARIBOU MIDDLE SCHOOL,Maine,5th Grade,8th Grade,426,187,205,221,MAINE,11.40
CARIBOU REGIONALTECHNOLOGY CTR,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
CARL J LAMB SCHOOL,Maine,Kindergarten,6th Grade,523,278,246,277,MAINE,12.30
CARMEL ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,247,119,117,130,MAINE,14.10
CARRABEC COMMUNITY SCHOOL,Maine,Kindergarten,8th Grade,300,190,144,156,MAINE,12.10
CARRABEC HIGH SCHOOL,Maine,9th Grade,12th Grade,272,150,132,140,MAINE,13.20
CARRIE RICKER MIDDLE SCHOOL,Maine,3rd Grade,8th Grade,210,94,107,103,MAINE,10.60
CARROLL L MCKUSICK SCHOOL,Maine,Prekindergarten,4th Grade,122,79,57,65,MAINE,13.90
CASCADE BROOK SCHOOL,Maine,4th Grade,6th Grade,280,134,128,152,MAINE,12.30
CASCO BAY HIGH SCHOOL,Maine,9th Grade,12th Grade,232,87,103,129,MAINE,11.70
CAVE HILL SCHOOL,Maine,Prekindergarten,8th Grade,81,42,44,37,MAINE,8.80
CENTER DRIVE SCHOOL,Maine,Prekindergarten,8th Grade,378,96,171,207,MAINE,14.30
CENTRAL AROOSTOOK JR-SR H S,Maine,7th Grade,12th Grade,196,85,85,111,MAINE,10.10
CENTRAL ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,17,10,6,11,MAINE,5.90
CENTRAL HIGH SCHOOL,Maine,9th Grade,12th Grade,383,159,186,197,MAINE,13.90
CENTRAL MIDDLE SCHOOL,Maine,5th Grade,8th Grade,273,131,129,144,MAINE,12.90
CENTRAL SCHOOL,Maine,Prekindergarten,3rd Grade,474,59,222,252,MAINE,17.20
CHARLES A SNOW SCHOOL,Maine,Kindergarten,5th Grade,207,106,111,96,MAINE,10.70
CHARLOTTE ELEMENTARY SCHOOL,Maine,Prekindergarten,8th Grade,41,22,24,17,MAINE,9.30
CHEBEAGUE ISLAND SCHOOL,Maine,Prekindergarten,6th Grade,23,5,9,14,MAINE,6.60
CHELSEA ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,247,76,113,134,MAINE,10.00
CHERRYFIELD ELEMENTARY,Maine,Kindergarten,8th Grade,89,52,53,36,MAINE,9.80
CHINA MIDDLE SCHOOL,Maine,5th Grade,8th Grade,211,54,109,102,MAINE,10.00
CHINA PRIMARY SCHOOL,Maine,Kindergarten,4th Grade,253,119,118,135,MAINE,12.00
CLIFF ISLAND SCHOOL,Maine,Kindergarten,5th Grade,6,="0",4,2,MAINE,5.00
CLINTON ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,277,166,131,146,MAINE,10.10
COASTAL RIDGE ELEMENTARY,Maine,Kindergarten,4th Grade,335,30,176,159,MAINE,14.80
COASTAL WASH CTY INST OF TECH,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
COFFIN SCHOOL,Maine,Kindergarten,5th Grade,411,140,196,215,MAINE,13.30
COLUMBIA FALLS ELEMENTARY,Maine,Kindergarten,8th Grade,82,44,47,35,MAINE,11.50
CONGIN SCHOOL,Maine,3rd Grade,5th Grade,331,137,147,184,MAINE,12.70
CONNERS-EMERSON SCHOOL,Maine,Kindergarten,8th Grade,448,57,222,226,MAINE,11.00
CONNOR CONSOLIDATED SCHOOL,Maine,Prekindergarten,6th Grade,45,30,31,14,MAINE,12.20
